date,ticker,open,high,low,close,volume,is_extended_hours,year,month,day,hour
2023-12-01 16:00:00+00:00,MSFT,374.3,374.3,374.3,374.3,200,False,2023,12,1,16
2023-12-01 15:00:00+00:00,MSFT,375.2,375.5,373.72,374.28,148512,False,2023,12,1,15
2023-12-01 14:00:00+00:00,MSFT,373.09,375.28,372.83,375.19,61819,False,2023,12,1,14
2023-12-01 13:00:00+00:00,MSFT,374.73,374.81,372.92,373.1,107670,False,2023,12,1,13
2023-12-01 12:00:00+00:00,MSFT,373.14,375.29,372.25,374.69,149653,False,2023,12,1,12
2023-12-01 11:00:00+00:00,MSFT,372.08,373.37,371.57,373.14,112086,False,2023,12,1,11
2023-12-01 10:00:00+00:00,MSFT,375.87,376.44,371.34,372.42,190532,False,2023,12,1,10
2023-12-01 09:00:00+00:00,MSFT,376.9,378.05,375.37,375.38,101665,False,2023,12,1,9
2023-11-30 16:00:00+00:00,MSFT,378.68,378.71,378.67,378.68,500,False,2023,11,30,16
2023-11-30 15:00:00+00:00,MSFT,376.64,379.22,375.56,378.68,127802,False,2023,11,30,15
2023-11-30 14:00:00+00:00,MSFT,375.8,376.8,375.78,376.61,39767,False,2023,11,30,14
2023-11-30 13:00:00+00:00,MSFT,376.94,377.01,375.53,375.75,30337,False,2023,11,30,13
2023-11-30 12:00:00+00:00,MSFT,376.19,377.13,376.07,376.98,32258,False,2023,11,30,12
2023-11-30 11:00:00+00:00,MSFT,377.42,377.77,376.03,376.15,60048,False,2023,11,30,11
2023-11-30 10:00:00+00:00,MSFT,378.61,379.42,376.69,377.56,57236,False,2023,11,30,10
2023-11-30 09:00:00+00:00,MSFT,378.49,380.05,377.7,378.54,61048,False,2023,11,30,9
2023-11-29 15:00:00+00:00,MSFT,379.92,379.92,378.56,378.96,83325,False,2023,11,29,15
2023-11-29 14:00:00+00:00,MSFT,378.94,380.0,378.7,379.89,35566,False,2023,11,29,14
2023-11-29 13:00:00+00:00,MSFT,379.13,379.46,378.56,378.92,27966,False,2023,11,29,13
2023-11-29 12:00:00+00:00,MSFT,378.32,379.1,377.77,379.07,45395,False,2023,11,29,12
2023-11-29 11:00:00+00:00,MSFT,379.68,379.69,377.49,378.41,106620,False,2023,11,29,11
2023-11-29 10:00:00+00:00,MSFT,381.67,381.94,378.79,379.68,96984,False,2023,11,29,10
2023-11-29 09:00:00+00:00,MSFT,383.95,384.19,381.22,381.77,99637,False,2023,11,29,9
2023-11-28 15:00:00+00:00,MSFT,381.48,382.75,380.75,382.46,56264,False,2023,11,28,15
2023-11-28 14:00:00+00:00,MSFT,381.12,381.61,380.54,381.43,31609,False,2023,11,28,14
2023-11-28 13:00:00+00:00,MSFT,381.71,382.15,380.76,381.16,27380,False,2023,11,28,13
2023-11-28 12:00:00+00:00,MSFT,382.41,382.75,381.37,381.98,21707,False,2023,11,28,12
