date,ticker,open,high,low,close,volume,is_extended_hours,year,month,day,hour
2023-12-01 16:00:00+00:00,GOOGL,131.82,131.82,131.82,131.82,171,False,2023,12,1,16
2023-12-01 15:00:00+00:00,GOOGL,131.67,131.96,131.5,131.82,262688,False,2023,12,1,15
2023-12-01 14:00:00+00:00,GOOGL,131.46,131.74,131.3,131.68,114173,False,2023,12,1,14
2023-12-01 13:00:00+00:00,GOOGL,131.88,131.95,131.38,131.47,127057,False,2023,12,1,13
2023-12-01 12:00:00+00:00,GOOGL,131.4,132.01,131.32,131.85,160325,False,2023,12,1,12
2023-12-01 11:00:00+00:00,GOOGL,130.88,131.6,130.75,131.41,200332,False,2023,12,1,11
2023-12-01 10:00:00+00:00,GOOGL,131.02,131.78,130.68,130.88,269971,False,2023,12,1,10
2023-12-01 09:00:00+00:00,GOOGL,131.85,132.08,130.96,131.01,206142,False,2023,12,1,9
2023-11-30 16:00:00+00:00,GOOGL,132.43,132.43,132.43,132.43,200,False,2023,11,30,16
2023-11-30 15:00:00+00:00,GOOGL,132.0,132.57,131.36,132.43,446192,False,2023,11,30,15
2023-11-30 14:00:00+00:00,GOOGL,131.43,132.0,131.4,131.99,137388,False,2023,11,30,14
2023-11-30 13:00:00+00:00,GOOGL,131.78,131.83,131.29,131.44,112892,False,2023,11,30,13
2023-11-30 12:00:00+00:00,GOOGL,131.89,132.28,131.67,131.82,125857,False,2023,11,30,12
2023-11-30 11:00:00+00:00,GOOGL,132.61,132.81,131.86,131.88,120090,False,2023,11,30,11
2023-11-30 10:00:00+00:00,GOOGL,133.92,133.96,132.3,132.55,200179,False,2023,11,30,10
2023-11-30 09:00:00+00:00,GOOGL,134.96,135.53,133.9,133.92,93997,False,2023,11,30,9
2023-11-29 16:00:00+00:00,GOOGL,135.0,135.0,135.0,135.0,2,False,2023,11,29,16
2023-11-29 15:00:00+00:00,GOOGL,135.17,135.19,134.85,134.99,122743,False,2023,11,29,15
2023-11-29 14:00:00+00:00,GOOGL,135.36,135.5,135.02,135.17,29489,False,2023,11,29,14
2023-11-29 13:00:00+00:00,GOOGL,135.61,135.69,135.16,135.37,37743,False,2023,11,29,13
2023-11-29 12:00:00+00:00,GOOGL,135.81,135.9,135.54,135.61,30614,False,2023,11,29,12
2023-11-29 11:00:00+00:00,GOOGL,136.02,136.13,135.22,135.82,128487,False,2023,11,29,11
2023-11-29 10:00:00+00:00,GOOGL,137.59,137.78,135.74,136.0,180736,False,2023,11,29,10
2023-11-29 09:00:00+00:00,GOOGL,137.59,138.27,137.55,137.56,108661,False,2023,11,29,9
2023-11-28 16:00:00+00:00,GOOGL,137.17,137.17,137.17,137.17,4,False,2023,11,28,16
2023-11-28 15:00:00+00:00,GOOGL,136.72,137.25,136.5,137.14,88547,False,2023,11,28,15
2023-11-28 14:00:00+00:00,GOOGL,136.62,136.82,136.4,136.69,42587,False,2023,11,28,14
2023-11-28 13:00:00+00:00,GOOGL,136.55,136.71,136.18,136.6,36597,False,2023,11,28,13
2023-11-28 12:00:00+00:00,GOOGL,136.7,136.87,136.42,136.52,36347,False,2023,11,28,12
2023-11-28 11:00:00+00:00,GOOGL,136.36,136.75,136.21,136.72,50543,False,2023,11,28,11
2023-11-28 10:00:00+00:00,GOOGL,135.57,136.5,135.43,136.34,55207,False,2023,11,28,10
2023-11-28 09:00:00+00:00,GOOGL,136.13,136.46,135.49,135.52,97328,False,2023,11,28,9
2023-11-27 15:00:00+00:00,GOOGL,136.58,136.83,136.31,136.44,69211,False,2023,11,27,15
2023-11-27 14:00:00+00:00,GOOGL,136.7,136.75,136.29,136.57,25298,False,2023,11,27,14
2023-11-27 13:00:00+00:00,GOOGL,136.94,137.16,136.57,136.67,36776,False,2023,11,27,13
2023-11-27 12:00:00+00:00,GOOGL,136.73,136.95,136.6,136.95,24750,False,2023,11,27,12
